new_variant,bare_form
clambers,FALSE
clangs,FALSE
clanging,FALSE
clanks,FALSE
claps,FALSE
clarinet,TRUE
clasp,TRUE
clasping,FALSE
clasps,FALSE
classes,FALSE
classify,TRUE
classmate,TRUE
classrooms,FALSE
clatter,TRUE
clattering,FALSE
clawing,FALSE
cleans,FALSE
cleaners,FALSE
clerks,FALSE
clicks,FALSE
clicked,FALSE
clicking,FALSE
cliffs,FALSE
climbers,FALSE
clings,FALSE
clinging,FALSE
clinks,FALSE
clip,TRUE
clips,FALSE
clipping ,FALSE
cloaks,FALSE
clomp,TRUE
clomps,FALSE
clomping,FALSE
cloths,FALSE
clowning,FALSE
clowned,FALSE
clubbing,FALSE
clucks,FALSE
clues,FALSE
clueless,FALSE
cluelessly,FALSE
clumped,FALSE
clumping,FALSE
clumsily,FALSE
clutches,FALSE
clutter,TRUE
cluttered,FALSE
cluttering ,FALSE
coasts,FALSE
coasted,FALSE
coating,FALSE
coax,TRUE
coaxes,FALSE
cobbler,TRUE
cobweb,TRUE
cockatoo,TRUE
coconuts,FALSE
cocoons,FALSE
codes,FALSE
coding,FALSE
coded,FALSE
coffins,FALSE
coils,FALSE
coiled,FALSE
coiling,FALSE
coins,FALSE
coldest,FALSE
collapse,TRUE
collars,FALSE
collects,FALSE
collections,FALSE
collectors,FALSE
colleges,FALSE
comedian,FALSE
comets,FALSE
comforts,FALSE
comforted,FALSE
comics,FALSE
commands,FALSE
commanding,FALSE
comments,FALSE
commented,FALSE
commenting,FALSE
commit,TRUE
commits,FALSE
committing,FALSE
commitment,FALSE
commuters,FALSE
commute,TRUE
companies ,FALSE
compares,FALSE
comparing,FALSE
compartments,FALSE
compel ,TRUE
compelled,FALSE
compels,FALSE
competitions,FALSE
complains,FALSE
complaint,FALSE
complaints,FALSE
completes,FALSE
completed,FALSE
completing,FALSE
compliments,FALSE
complimented,FALSE
complimenting,FALSE
compose,TRUE
composing,FALSE
composes,FALSE
computers,FALSE
concerns,FALSE
concerned,FALSE
concerning,FALSE
conclude,TRUE
concludes,FALSE
concluding,FALSE
condition,TRUE
conditioning,FALSE
conditioned,FALSE
confesses,FALSE
confessed,FALSE
confessing,FALSE
confuse,TRUE
confuses,FALSE
congratulates,FALSE
congratulation,TRUE
consents,FALSE
consented,FALSE
consenting,FALSE
conservatories,FALSE
considers,FALSE
consist,TRUE
consisting,FALSE
consists,FALSE
constables,FALSE
constants,FALSE
constrict,TRUE
constricts,FALSE
constricting,FALSE
constrictors,FALSE
constricted,FALSE
construct,TRUE
constructs,FALSE
constructed,FALSE
constructing,FALSE
contain,TRUE
contained,FALSE
containing,FALSE
contracts,FALSE
contrives,FALSE
contrived,FALSE
contriving,FALSE
controllers,FALSE
conversations,FALSE
convey,TRUE
conveyed,FALSE
conveying ,FALSE
convince,TRUE
convinces,FALSE
convincing,FALSE
cools,FALSE
cooling,FALSE
coops,FALSE
coordinates,FALSE
coordinated,FALSE
coordinating,FALSE
copied,FALSE
cop,FALSE
copped,FALSE
copping ,FALSE
cords,FALSE
cornered,FALSE
cornering,FALSE
corrects,FALSE
corrected,FALSE
correcting,FALSE
cots,FALSE
cottages,FALSE
couches,FALSE
counters,FALSE
countrysides,FALSE
counties,FALSE
coupes,FALSE
couples,FALSE
coupons,FALSE
courses,FALSE
courted,FALSE
coward,TRUE
cowboys,FALSE
cowgirls,FALSE
cozied,FALSE
cracking,FALSE
cracker,TRUE
crackles,FALSE
crackled,FALSE
crackling ,FALSE
cradles,FALSE
cradled,FALSE
cradling ,FALSE
cram,TRUE
crams,FALSE
cramming,FALSE
cranberries,FALSE
craned,FALSE
craning,FALSE
cranked,FALSE
cranking,FALSE
crashing,FALSE
crawling,FALSE
crawlers,FALSE
crazed,FALSE
creaks,FALSE
creaked,FALSE
create,TRUE
creates,FALSE
creation,TRUE
creative,TRUE
credits,FALSE
credited,FALSE
crediting,FALSE
creeks,FALSE
crews,FALSE
cribs,FALSE
crinkle,TRUE
crinkled,FALSE
crinkles,FALSE
crinkling,FALSE
cripple,TRUE
crippling,FALSE
cripples,FALSE
croaks,FALSE
croaking,FALSE
crooks,FALSE
croon,TRUE
croons,FALSE
crooning,FALSE
crosstowns,FALSE
crowing,FALSE
crowds,FALSE
crowned,FALSE
crowning,FALSE
crudely,FALSE
crumbles,FALSE
crumbled,FALSE
crumbling,FALSE
crumple,TRUE
crumples,FALSE
crumpling,FALSE
crunches,FALSE
crunching,FALSE
crush,TRUE
crusty,FALSE
crusted,FALSE
crusting,FALSE
cubbies,FALSE
cuckoos,FALSE
cuddling,FALSE
culturally,FALSE
culture,TRUE
cunningest,FALSE
cunninger,FALSE
cupping,FALSE
cupcakes,FALSE
curbs,FALSE
curbing,FALSE
curdle,TRUE
curdles,FALSE
curdling,FALSE
curd,TRUE
cures,FALSE
curing ,FALSE
curling,FALSE
curses,FALSE
cursing,FALSE
curving,FALSE
cushions,FALSE
customs,FALSE
customer,TRUE
cutters,FALSE
cycles,FALSE
cycled,FALSE
cycling ,FALSE
cymbal,TRUE
dab,TRUE
dabs,FALSE
dabbing ,FALSE
daffodil,TRUE
damages,FALSE
damaging ,FALSE
dandelions,FALSE
dangers,FALSE
dangerously,FALSE
darken,TRUE
darkens,FALSE
dart,TRUE
darts,FALSE
darted,FALSE
dashes,FALSE
date,TRUE
dating,FALSE
dated,FALSE
daze,TRUE
dazing,FALSE
dazes,FALSE
deafen,TRUE
deafens,FALSE
deafened,FALSE
deals,FALSE
dealed,FALSE
dealing,FALSE
dealers,FALSE
deaths,FALSE
decisions,FALSE
declare,TRUE
declaring,FALSE
decorates,FALSE
decorated,FALSE
decorating,FALSE
decoration,TRUE
dedicates,FALSE
dedicated,FALSE
dedicating,FALSE
deepest,FALSE
delicates,FALSE
delightful,FALSE
delights,FALSE
delighting,FALSE
deliveries,FALSE
delved,FALSE
delves,FALSE
delving,FALSE
demands,FALSE
demanding,FALSE
demonstrate,TRUE
demonstrates,FALSE
demonstrating,FALSE
departs,FALSE
departed,FALSE
departing,FALSE
departments,FALSE
depended,FALSE
depending,FALSE
depress,TRUE
depressed,FALSE
descend,TRUE
descends,FALSE
descending,FALSE
describing,FALSE
deserting,FALSE
deserve,TRUE
designs,FALSE
desires,FALSE
desists,FALSE
desisted,FALSE
desisting,FALSE
despairs,FALSE
despairing,FALSE
desserts,FALSE
destinations,FALSE
destine,TRUE
destining,FALSE
destines,FALSE
details,FALSE
detailed,FALSE
detailing,FALSE
detectives,FALSE
detergents,FALSE
determine,TRUE
determines,FALSE
determining,FALSE
detests,FALSE
detested,FALSE
detesting,FALSE
developed,FALSE
develops,FALSE
developing,FALSE
devil,TRUE
devour,TRUE
devours,FALSE
devouring ,FALSE
dewdrop,FALSE
dialing,FALSE
dibbled,FALSE
dibbles,FALSE
dibbling,FALSE
dicks,FALSE
dictionaries,FALSE
diddled,FALSE
diddles,FALSE
diddling ,FALSE
diets,FALSE
dieted,FALSE
dieting,FALSE
differences,FALSE
difficulty,FALSE
difficulties,FALSE
dignify ,TRUE
dime,TRUE
dining,FALSE
dined,FALSE
diners,FALSE
dings,FALSE
dinging,FALSE
dinged,FALSE
dipped,FALSE
dips,FALSE
dipping ,FALSE
directs,FALSE
directing,FALSE
disability,FALSE
disappears,FALSE
disappoint,TRUE
disappoints,FALSE
disappointing,FALSE
disasters,FALSE
discontent,TRUE
discontents,FALSE
discourage,TRUE
discouraging,FALSE
discourages,FALSE
discovers,FALSE
discovering,FALSE
discusses,FALSE
discussing,FALSE
disguises,FALSE
disguising ,FALSE
disgusts,FALSE
disgusted,FALSE
dished,FALSE
dishing,FALSE
disk,TRUE
disobey,TRUE
disobeys,FALSE
disobeying ,FALSE
displays,FALSE
displayed,FALSE
displaying ,FALSE
displease,TRUE
displeases,FALSE
distanced,FALSE
distances,FALSE
distancing ,FALSE
distinguish,TRUE
distinguishes,FALSE
distinguishing,FALSE
distractions,FALSE
distributes,FALSE
distributed,FALSE
distributing,FALSE
disturbs,FALSE
disturbing,FALSE
ditched,FALSE
ditching,FALSE
divas,FALSE
dives,FALSE
divide,TRUE
divides,FALSE
divisions,FALSE
docks,FALSE
docked,FALSE
docking,FALSE
dodge,TRUE
dodges,FALSE
dodged,FALSE
doff,TRUE
doffs,FALSE
doffing,FALSE
dollhouses,FALSE
doll,TRUE
domes,FALSE
dongs,FALSE
donkeys,FALSE
doodles,FALSE
doodled,FALSE
doodling,FALSE
doorknobs,FALSE
doorsteps,FALSE
doorstops,FALSE
doses,FALSE
dosed,FALSE
dosing,FALSE
dotted,FALSE
dotting ,FALSE
doubles,FALSE
doubled,FALSE
doubling,FALSE
doubts,FALSE
doves,FALSE
downers,FALSE
downpours,FALSE
dozes,FALSE
drags,FALSE
dragonfly,TRUE
drains,FALSE
drained,FALSE
draining,FALSE
drape,TRUE
draped,FALSE
draping ,FALSE
dreads,FALSE
dreading ,FALSE
dreamers,FALSE
drench,TRUE
drenches,FALSE
dressing,FALSE
dressmakers,FALSE
drill,TRUE
drilled,FALSE
drilling ,FALSE
drip,TRUE
drips,FALSE
driveways,FALSE
drizzles,FALSE
drizzled,FALSE
drizzling,FALSE
drooled,FALSE
drooling,FALSE
drools,FALSE
drowns,FALSE
drowsy,TRUE
drugstores,FALSE
drummed,FALSE
drummers,FALSE
drunks,FALSE
dubbed,FALSE
dubbing ,FALSE
ducked,FALSE
ducking ,FALSE
duckbills,FALSE
duets,FALSE
dullest,FALSE
dumpers,FALSE
dungeons,FALSE
dusts,FALSE
dustbath,FALSE
dusters,FALSE
duties,FALSE
dwarf,TRUE
dwelling ,FALSE
dwelled,FALSE
dyes,FALSE
earmuff,TRUE
earphone,TRUE
earring,TRUE
echoed,FALSE
echoing ,FALSE
edged,FALSE
edging ,FALSE
educations,FALSE
eels,FALSE
eerie,TRUE
egged,FALSE
egging ,FALSE
eighties,FALSE
elder,TRUE
electrics,FALSE
electrician,TRUE
elegantly,FALSE
elementaries,FALSE
elevate,TRUE
elevates,FALSE
elevating ,FALSE
elevators,FALSE
elks,FALSE
elongate,TRUE
elongates,FALSE
elongating ,FALSE
embarrass,TRUE
embarrasses,FALSE
emblems,FALSE
embrace,TRUE
embracing ,FALSE
embracement,FALSE
embroider,TRUE
embroiders,FALSE
embroidering ,FALSE
embroidery,FALSE
emeralds,FALSE
emerged,FALSE
emerges,FALSE
emerging ,FALSE
emergence ,FALSE
emergencies,FALSE
emptying ,FALSE
enchant,TRUE
enchants,FALSE
enchanting ,FALSE
enchantments,FALSE
encounter,TRUE
encounters,FALSE
encountering ,FALSE
encourage,TRUE
encourages,FALSE
encouraging ,FALSE
encyclopedia,TRUE
ending ,FALSE
endlessly ,FALSE
enemy,TRUE
engage,TRUE
engages,FALSE
engaging ,FALSE
enjoys,FALSE
enroll,TRUE
enrolls,FALSE
enrolling ,FALSE
entering ,FALSE
entertains,FALSE
entertained,FALSE
entertaining ,FALSE
enthusiastic,TRUE
entirety,FALSE
entrances,FALSE
entrancing ,FALSE
enviously ,FALSE
environmentally ,FALSE
envying ,FALSE
envies ,FALSE
envied ,FALSE
epilogues,FALSE
equalled ,FALSE
equalling ,FALSE
erase,TRUE
erasing,FALSE
escalators,FALSE
escapes,FALSE
espy,TRUE
espies,FALSE
espying,FALSE
europeans,FALSE
evils,FALSE
exacts,FALSE
exacted,FALSE
exacting,FALSE
examines,FALSE
examining,FALSE
examples,FALSE
excavators,FALSE
excepts,FALSE
excepted,FALSE
exchanges,FALSE
exchanging,FALSE
excite,TRUE
excites,FALSE
exclaim,TRUE
exclaims,FALSE
exclaiming,FALSE
exclamation,TRUE
excuses,FALSE
excused,FALSE
excusing,FALSE
exercised,FALSE
exerts,FALSE
exerted,FALSE
exerting,FALSE
exhaust,TRUE
exhausts,FALSE
exhausting,FALSE
exhibits,FALSE
exhibited,FALSE
exhibiting,FALSE
exists,FALSE
existing,FALSE
exits,FALSE
exited,FALSE
exiting,FALSE
expects,FALSE
expectants,FALSE
experiences,FALSE
experiencing,FALSE
expert,TRUE
explaining,FALSE
explorations,FALSE
explores,FALSE
explorer,FALSE
explosions,FALSE
expresses,FALSE
expressing,FALSE
expressions,FALSE
extras,FALSE
extreme,TRUE
extremes,FALSE
eyeball,TRUE
eyebrows,FALSE
eyelashes,FALSE
facing,FALSE
fading,FALSE
failing,FALSE
faints,FALSE
fainting,FALSE
fans,FALSE
fanning,FALSE
fanned,FALSE
fares,FALSE
fared,FALSE
faring,FALSE
farms,FALSE
farming,FALSE
farmed,FALSE
farmhouse,FALSE
fascinate,TRUE
fascinates,FALSE
fashion,TRUE
fashions,FALSE
fashioning ,FALSE
favored,FALSE
favoring,FALSE
fawning,FALSE
fawns,FALSE
fawned,FALSE
fearing,FALSE
featherleg,TRUE
fees,FALSE
fellows,FALSE
fenced,FALSE
fencing,FALSE
fern,TRUE
ferries,FALSE
ferrying,FALSE
ferried,FALSE
festivals,FALSE
festivity,TRUE
fetches,FALSE
fetching,FALSE
feverish,TRUE
fewest,FALSE
fiction,FALSE
fiddled,FALSE
fiddling ,FALSE
fiddlestick,TRUE
fielder,TRUE
fighter,TRUE
figures,FALSE
figuring ,FALSE
figurehead,FALSE
files,FALSE
filing ,FALSE
filth,TRUE
finals,FALSE
finches,FALSE
fines,FALSE
finely,FALSE
fingered,FALSE
fingering ,FALSE
finishers,FALSE
firing ,FALSE
firefighter,TRUE
firefly,TRUE
firework,TRUE
firms,FALSE
firmed,FALSE
firming ,FALSE
fishbowls,FALSE
fishers,FALSE
fishermans,FALSE
fisting ,FALSE
fisted,FALSE
fitted,FALSE
fixes,FALSE
flagged,FALSE
flagging ,FALSE
flaked,FALSE
flaking ,FALSE
flamed,FALSE
flames,FALSE
flamingos,FALSE
flannels,FALSE
flaps,FALSE
flats,FALSE
flatted,FALSE
flatting ,FALSE
flatbeds,FALSE
flecks,FALSE
flecked,FALSE
flecking ,FALSE
flees,FALSE
fleeing ,FALSE
fleet ,FALSE
flicker,TRUE
flickers,FALSE
flickering ,FALSE
flips,FALSE
flipper,TRUE
flitters,FALSE
flittering ,FALSE
flittered,FALSE
flocks,FALSE
flocked,FALSE
flocking ,FALSE
flood,TRUE
floods,FALSE
flooding ,FALSE
floored,FALSE
flooring ,FALSE
flops,FALSE
flopping ,FALSE
floss,TRUE
flossed,FALSE
flosses,FALSE
flossing ,FALSE
flounce,TRUE
flounces,FALSE
flouncing ,FALSE
flows,FALSE
flowy,FALSE
fling ,TRUE
flings,FALSE
flinging ,FALSE
flurry ,TRUE
flush,TRUE
flushing ,FALSE
fluster,TRUE
flusters,FALSE
flustering ,FALSE
flutters,FALSE
fluted,FALSE
flyers,FALSE
foals,FALSE
fogs,FALSE
fogged,FALSE
fogging ,FALSE
folding ,FALSE
fold,TRUE
foods,FALSE
fooled,FALSE
fooling ,FALSE
foolishly,FALSE
footballs,FALSE
footprint,TRUE
footstep,TRUE
forages,FALSE
foraged,FALSE
foraging ,FALSE
force,TRUE
forces,FALSE
forcing ,FALSE
foreheads,FALSE
forgives,FALSE
forgiving ,FALSE
forklifts,FALSE
forms,FALSE
forts,FALSE
fosters,FALSE
fostered,FALSE
fostering ,FALSE
fouls,FALSE
fouled,FALSE
fouling,FALSE
foundations,FALSE
foundational,FALSE
framing,FALSE
frames,FALSE
frank,TRUE
frankly,FALSE
frats,FALSE
frees,FALSE
freed,FALSE
freedoms,FALSE
freezing,FALSE
freights,FALSE
fresheners,FALSE
frets,FALSE
fretted,FALSE
fridges,FALSE
frights,FALSE
frightens,FALSE
fringed,FALSE
fringes,FALSE
fringing,FALSE
frisbees,FALSE
frisk,TRUE
frisks,FALSE
frisked,FALSE
fritters,FALSE
frolics,FALSE
frolicked,FALSE
frolicking ,FALSE
frosts,FALSE
frosted,FALSE
frowns,FALSE
frowning,FALSE
fruiterer,TRUE
frumps,FALSE
fryers,FALSE
fuddle,TRUE
fuddles,FALSE
fuddling,FALSE
fudges,FALSE
fudged,FALSE
