word,freq,rank,Syllable,Contraction,Comments
waddled,3,4461,2,,
whod,3,4479,,TRUE,
woooo,3,4495,1,,
zum,3,4502,1,,sublist
100th,2,4503,,,
14,2,4504,,,
16,2,4505,,,
17,2,4506,,,
18,2,4507,,,
19,2,4508,,,
21,2,4509,,,
30,2,4510,,,
40,2,4511,,,
50,2,4512,,,
60,2,4513,,,
70,2,4514,,,
80,2,4515,,,
90,2,4516,,,
aaooga,2,4517,3,,
aggle,2,4534,2,,
ahhh,2,4535,1,,
ain,2,4537,1,,
alans,2,4540,2,,
arnies,2,4559,2,,
aught,2,4569,1,,
baaa,2,4575,1,,
babars,2,4576,2,,
bakeshop,2,4587,2,,
barm,2,4598,1,,
beft,2,4607,1,,
berryland,2,4614,3,,
blaaaze,2,4622,1,,
blinky,2,4626,2,,
bloath,2,4627,1,,
blowin,2,4632,2,,
bluuub,2,4634,1,,
bluuuub,2,4635,1,,
boggen,2,4638,2,,
braying,2,4653,2,,
bucketful,2,4667,3,,
bumblebee,2,4673,3,,
bumblebees,2,4674,3,,
bumperman,2,4675,3,,
bungle,2,4676,2,,
burps,2,4678,1,,
carrotcar,2,4700,3,,
chid,2,4723,1,,
chirruped,2,4726,2,,
choppin,2,4727,2,,
cinderumpelstiltskin,2,4735,6,,
cmon,2,4754,,TRUE,
cockadoodledoo,2,4757,5,,
codlins,2,4763,2,,
crawler,2,4797,2,,
crummies,2,4804,2,,
cuddles,2,4809,2,,
daddys,2,4818,2,,
darington,2,4827,3,,
dears,2,4832,1,,
delphinium,2,4842,4,,
doot,2,4872,1,,
dragonflies,2,4879,3,,
dragster,2,4880,2,,
drippy,2,4886,2,,
droopier,2,4889,3,,
duckbill,2,4893,1,,
eer,2,4901,1,,
firemens,2,4956,3,,
fishin,2,4959,2,,
flaggle,2,4960,2,,
flappy,2,4962,2,,
fluting,2,4977,2,,
frumpaty,2,4999,3,,
gack,2,5008,1,,
gbye,2,5012,,TRUE,
gluey,2,5024,2,,
glupp,2,5026,1,,
gluppity,2,5027,3,,
gnashed,2,5028,1,,
gordons,2,5035,2,,
growed,2,5059,1,,
haa,2,5069,1,,
hadrosaur,2,5070,3,,
hame,2,5075,1,,
hangin,2,5076,2,,
hapenny,2,5077,3,,
hei,2,5096,1,,
hijk,2,5104,,,pronunciation?
hmmmmm,2,5110,1,,
hortons,2,5125,2,,
hullo,2,5134,2,,sublist
humpfed,2,5136,1,,
intery,2,5153,3,,
itll,2,5158,,TRUE,
jamboree,2,5163,3,,
jiggety,2,5169,3,,
jims,2,5172,1,,
johnnys,2,5174,2,,
kilkenny,2,5189,3,,
klabble,2,5191,2,,
knobbly,2,5194,2,,
laddie,2,5198,2,,
lauk,2,5201,1,,
lckle,2,5206,,,pronunciation?
lerkim,2,5210,2,,
lippity,2,5223,3,,
lm,2,5228,1,,
loveliest,2,5236,3,,
maaa,2,5245,1,,
maniacbug,2,5255,4,,
marys,2,5266,2,,
mcgregors,2,5275,3,,
mintery,2,5296,3,,
moisty,2,5304,2,,
mummys,2,5316,2,,
mustnts,2,5321,,TRUE,
nibblin,2,5324,2,,
niggledy,2,5327,3,,
nightgowns,2,5328,2,,
nikolais,2,5329,3,,
nool,2,5331,1,,
oatsdale,2,5334,2,,
ooooo,2,5341,1,,sublist
ooooooo,2,5342,1,,sublist
pahs,2,5359,1,,
pajan,2,5360,2,,sublist
parcheesi,2,5367,3,,
pedlar,2,5386,2,,sublist
pipelayer,2,5403,3,,
pish,2,5407,1,,
pood,2,5427,1,,
pranced,2,5442,1,,
probly,2,5451,2,,
psst,2,5458,1,,
pushchair,2,5467,2,,
pussys,2,5468,2,,
quacking,2,5470,2,,
reigate,2,5495,2,,
rinsed,2,5511,1,,
roadbed,2,5517,2,,
rooff,2,5526,1,,
selectmen,2,5576,3,,
selfsame,2,5578,2,,
shaftoes,2,5587,2,,
shakin,2,5589,2,,
shhh,2,5593,1,,
shirker,2,5595,2,,
shmellafint,2,5599,3,,
signalmen,2,5615,3,,
sippy,2,5622,2,,
skoodle,2,5629,2,,
slingers,2,5640,2,,
sloosh,2,5643,1,,
snappers,2,5656,2,,
snuggled,2,5662,2,,
snuvs,2,5664,1,,
sond,2,5672,1,,
spelt,2,5687,1,,
spiderwebs,2,5688,3,,
spitballs,2,5692,2,,
spooning,2,5699,2,,
sprat,2,5702,1,,
squealed,2,5711,1,,
staler,2,5715,2,,
stammered,2,5716,2,,
starlas,2,5718,2,,
stomachache,2,5727,3,,
stomps,2,5728,1,,
storys,2,5733,2,,
stripy,2,5738,2,,
stumpaty,2,5747,3,,
sulky,2,5753,2,,
swishing,2,5775,2,,
swomee,2,5777,2,,pronunciation?
tassels,2,5791,2,,
tattletale,2,5792,3,,
thisll,2,5807,,TRUE,
thumpaty,2,5812,3,,
tickling,2,5817,3,,
tisha,2,5823,2,,
tittlemouse,2,5825,3,,
tocks,2,5827,1,,
toowhoo,2,5833,2,,
tryin,2,5860,2,,
turnin,2,5869,2,,
undust,2,5886,2,,
unicorns,2,5888,3,,
unscrewed,2,5896,2,,
vexation,2,5905,3,,
victuals,2,5908,3,,sublist
vipper,2,5913,2,,
waggled,2,5922,2,,
wakeful,2,5926,2,,
whaaaat,2,5937,1,,
whatd,2,5938,,TRUE,
whimpers,2,5940,2,,
wiggled,2,5944,2,,
winkie,2,5947,2,,
wooooo,2,5956,1,,
wrens,2,5962,1,,
yapping,2,5967,2,,
yelped,2,5972,1,,
yeow,2,5974,1,,stress?
yink,2,5976,1,,
yknow,2,5977,,TRUE,
zugg,2,5986,1,,
0,1,5987,,,
00be,1,5988,,,
105,1,5989,,,
109,1,5990,,,
13,1,5991,,,
135,1,5992,,,
170,1,5993,,,
1988,1,5994,,,
200,1,5995,,,
22,1,5996,,,
23,1,5997,,,
24,1,5998,,,
25,1,5999,,,
38,1,6000,,,
39,1,6001,,,
4000,1,6002,,,
53,1,6003,,,
56,1,6004,,,
58,1,6005,,,
800,1,6006,,,
87,1,6007,,,
98,1,6008,,,
"98,7",1,6009,,,
99,1,6010,,,
aa,1,6011,1,,sublist
aaaa,1,6012,1,,sublist
aaah,1,6013,1,,
aaeee,1,6014,1,,sublist
abcde,1,6016,5,,stress?
abcs,1,6017,3,,stress?
abouth,1,6019,2,,
abracadin,1,6021,4,,
ahhchooo,1,6061,2,,
ahhhh,1,6062,1,,
alabone,1,6070,3,,
alack,1,6071,2,,
albies,1,6073,2,,
alia,1,6078,3,,
amnythyst,1,6091,3,,
andcheck,1,6100,2,,
ande,1,6101,2,,
ankylosaur,1,6108,4,,
annies,1,6109,2,,
anns,1,6114,1,,
archdukes,1,6127,2,,
arigato,1,6131,4,,
arrgh,1,6139,1,,
ashalt,1,6144,2,,
attentionthat,1,6159,4,,
awl,1,6172,1,,
awwwk,1,6174,1,,
baaaa,1,6178,1,,sublist
babby,1,6180,2,,
backpackcheck,1,6187,3,,
bakin,1,6194,2,,
bangerville,1,6203,3,,
banjos,1,6204,2,,
bappity,1,6206,3,,
barbaras,1,6207,3,,sublist
barooom,1,6216,2,,
barosaur,1,6217,3,,
bathtime,1,6227,2,,
bb,1,6233,2,,sublist
beaks,1,6238,1,,
beanstalk,1,6241,2,,
bearmine,1,6243,2,,
begrudging,1,6260,3,,
berryband,1,6272,3,,
bettys,1,6277,2,,
biddies,1,6281,2,,
bigshot,1,6284,2,,
bimm,1,6285,1,,
bindings,1,6287,2,,
bipping,1,6290,2,,
blab,1,6300,1,,sublist
blaggle,1,6305,2,,
blazin,1,6310,2,,
bleating,1,6313,2,,
blibber,1,6319,2,,
bling,1,6320,1,,
