cycle, word, train_test, phonlength, binary_acc, mse, loss
9, smack, train, 5, 0.9757575988769531, 0.013926340267062187, 0.04719638451933861
9, spurt, train, 5, 0.9636363983154297, 0.02505086362361908, 0.07911502569913864
9, lent, train, 5, 0.9939393997192383, 0.00602732552215457, 0.025258785113692284
9, flail, train, 5, 0.9757575988769531, 0.018854569643735886, 0.05855727940797806
9, scare, train, 5, 0.9696969985961914, 0.022942325100302696, 0.07198038697242737
9, pulse, train, 5, 0.9393939971923828, 0.039199791848659515, 0.1167258769273758
9, groan, train, 5, 0.9696969985961914, 0.016648579388856888, 0.05244603008031845
9, fiend, train, 5, 0.9757575988769531, 0.016471698880195618, 0.05546959489583969
9, stain, train, 5, 0.9757575988769531, 0.018350539728999138, 0.06481639295816422
9, cold, train, 5, 0.9878787994384766, 0.010961782187223434, 0.04035760462284088
9, paunch, train, 5, 0.9454545974731445, 0.02876337803900242, 0.08636124432086945
9, max, train, 5, 0.9696969985961914, 0.021984795108437538, 0.06987714767456055
9, groat, train, 5, 0.9636363983154297, 0.024349819868803024, 0.08097200095653534
9, slit, train, 5, 0.9818181991577148, 0.010132833383977413, 0.03672037273645401
9, trade, train, 5, 0.9757575988769531, 0.020358934998512268, 0.0648721233010292
9, sloop, train, 5, 0.9818181991577148, 0.01425008662045002, 0.049796268343925476
9, stuff, train, 5, 0.9818181991577148, 0.014172324910759926, 0.053306810557842255
9, sped, train, 5, 0.9696969985961914, 0.014708848670125008, 0.04804103448987007
9, trial, train, 5, 0.9636363983154297, 0.02667210064828396, 0.08389149606227875
9, blush, train, 5, 0.9696969985961914, 0.024131756275892258, 0.08729533851146698
9, blight, train, 5, 0.9636363983154297, 0.025221988558769226, 0.08326052129268646
9, clerk, train, 5, 0.9272727966308594, 0.0431584008038044, 0.12564373016357422
9, glib, train, 5, 0.9818181991577148, 0.018911033868789673, 0.06950122863054276
9, wealth, train, 5, 0.9757575988769531, 0.018485354259610176, 0.06912826746702194
9, scar, train, 5, 0.9939393997192383, 0.009968118742108345, 0.044216088950634
9, film, train, 5, 0.9757575988769531, 0.02040054276585579, 0.06553781777620316
9, lymph, train, 5, 0.9696969985961914, 0.02084684930741787, 0.06727081537246704
9, mink, train, 5, 1.0, 0.00511930650100112, 0.023981943726539612
9, fink, train, 5, 0.9939393997192383, 0.004125675652176142, 0.02121097967028618
9, guard, train, 5, 0.9636363983154297, 0.020064229145646095, 0.06406961381435394
9, shield, train, 5, 0.9515151977539062, 0.029466334730386734, 0.09985749423503876
9, scheme, train, 5, 0.9515151977539062, 0.03461649641394615, 0.11550214141607285
9, rapt, train, 5, 0.9696969985961914, 0.01677761599421501, 0.05425597354769707
9, class, train, 5, 0.957575798034668, 0.030926194041967392, 0.08919443935155869
9, skull, train, 5, 0.9757575988769531, 0.015999507158994675, 0.05495455861091614
9, ward, train, 5, 0.9757575988769531, 0.013869809918105602, 0.04545431584119797
9, court, train, 5, 0.9939393997192383, 0.007868302054703236, 0.036182038486003876
9, pimp, train, 5, 0.9878787994384766, 0.011471299454569817, 0.04106024652719498
9, slash, train, 5, 0.9636363983154297, 0.029585745185613632, 0.09195578098297119
9, wound, train, 5, 0.9636363983154297, 0.022685935720801353, 0.0700763612985611
9, thwack, train, 5, 0.9757575988769531, 0.02461235597729683, 0.07730601727962494
9, plead, train, 5, 0.9757575988769531, 0.023251524195075035, 0.0733245462179184
9, steel, train, 5, 0.9757575988769531, 0.015838373452425003, 0.05395130068063736
