word,freq,freq_scaled
nix,1081,0.40134485313943963
rob,21936,0.5742917919309898
sill,441,0.3498328264018487
dog,58316,0.6304661402643944
shun,927,0.3925150289704011
maid,1716,0.427894346967831
three,165171,0.6902805517424302
rake,921,0.39214195737074964
shod,115,0.27260975267955156
rut,426,0.3478446410084212
beg,4585,0.4843586441492481
shawl,184,0.29961278868954583
cove,55,0.2302326100726791
pass,48576,0.6199668137505584
what,260269,0.716406328017935
claw,2196,0.4420645990710255
been,735349,0.7760785266490605
pear,55,0.2302326100726791
welt,641,0.3713192969146973
lab,24769,0.5812702273497751
that,5262333,0.889144796237038
shell,37176,0.6046001256861286
soothe,288,0.3253530744298457
tribe,4486,0.4831045254257689
fife,545,0.36199794026610843
rink,2017,0.43717960001154044
foll,55,0.2302326100726791
huff,667,0.37360365505493615
craft,6910,0.5079246168053632
joke,20264,0.5697367475767371
which,260269,0.716406328017935
dase,55,0.2302326100726791
curse,7689,0.514061790613688
sling,784,0.382889121623704
fence,5279,0.492456423276882
rule,45325,0.6159870091935383
rich,36594,0.6036935718672253
pitch,55,0.2302326100726791
mosk,2,0.03982326329463344
damn,30473,0.5931772203336245
drink,19874,0.5686202342119702
stroll,564,0.3639667599014003
strait,1185,0.4066222533385434
boast,960,0.39452471262004596
slouch,197,0.30353497645155114
brim,397,0.34379404075712994
twain,2,0.03982326329463344
lace,3287,0.4652374932312726
rump,849,0.38746524862743986
doom,33767,0.599074347639803
wise,13446,0.5461716529961892
dunk,1070,0.4007572319600714
ham,6780,0.5068334419782922
wrong,138850,0.6803074832957756
chic,534,0.36082647972020754
tub,2581,0.4513454936965255
fear,34539,0.6003730759847599
task,21505,0.5731517178124673
born,35183,0.6014344532038408
bran,596,0.36713737534796087
juke,191,0.30175794331521333
charm,3831,0.47403642610607755
dross,2,0.03982326329463344
trend,260269,0.716406328017935
zone,55,0.2302326100726791
freight,2664,0.4531639808411348
meaf,55,0.2302326100726791
bleat,130,0.2796536023699913
tilt,2138,0.44052677591982603
cluck,132,0.28053076176637914
crease,1735,0.4285269837077376
vase,542,0.36168081255493795
left,132019,0.677409082401619
din,3777,0.4732208360372226
span,3412,0.46738182424253266
spate,2,0.03982326329463344
van,45558,0.6162815975638529
glove,55,0.2302326100726791
sweet,15496,0.5543242238440462
scald,117,0.27360034315813037
pain,36598,0.6036998515507452
crab,982,0.3958264800895198
chart,10663,0.5328482361968282
lien,762,0.3812538726374735
rash,2287,0.44439737858952055
troupe,364,0.33880814601330383
lithe,203,0.30525869047187576
lift,9808,0.5280462472092001
town,260269,0.716406328017935
gruff,208,0.30665663837998564
verve,500,0.357046788210985
squad,4814,0.4871587933321229
wound,6141,0.5011462152312195
near,260269,0.716406328017935
barn,2577,0.45125638499395176
struck,7226,0.5104936770138636
smear,1828,0.43152688636338365
watch,260269,0.716406328017935
jar,2939,0.4588081827854675
broom,602,0.36771286755010973
nut,4433,0.482421705482063
sheik,441,0.3498328264018487
his,842729,0.7839093592022636
noun,1525,0.42111482227289226
mart,1403,0.4163243133307256
buzz,3748,0.47277800808823955
swipe,672,0.37403272967409157
pert,336,0.3342094663794581
wand,55,0.2302326100726791
risk,36286,0.6032079633248312
lug,763,0.38132922061478747
sage,4768,0.48660716523186115
dung,1177,0.4062330709903049
quince,2,0.03982326329463344
bade,137,0.28266680051349247
doll,55,0.2302326100726791
sin,17451,0.5611504827626098
hog,2410,0.4474070926265225
late,55032,0.6271360789556929
hike,2400,0.44716820319931855
thrift,619,0.36931280388812254
posh,315,0.33050154605316967
stoop,772,0.3820029422375862
shard,202,0.3049749722436099
mock,1818,0.43121173020028836
pave,751,0.3804184566368192
and,10715413,0.93
girth,239,0.31463829915004743
shuck,94,0.2610251176284276
queer,2461,0.44861021359717734
brink,1293,0.41163342227802946
dodge,6589,0.505191698217017
dreamt,800,0.3840498242209793
hence,20119,0.5693241633036931
heck,12965,0.5440787474273269
shrimp,1995,0.43654950289921185
bloc,2,0.03982326329463344
broth,55,0.2302326100726791
hymn,2290,0.4444726936422119
shine,3208,0.4638398036300112
cell,16079,0.5564460799831603
gauge,4938,0.48861993652636104
wild,260269,0.716406328017935
rode,2641,0.45266580054242994
deed,55,0.2302326100726791
oft,723,0.3782354544363222
plum,827,0.38595685394801493
plaid,779,0.3825215399189786
mice,4183,0.47908669178102903
rust,4190,0.4791827552863357
gale,926,0.392453018360531
dice,14896,0.5520554574480855
drew,9789,0.5279348419934107
ford,16673,0.5585302714959789
sang,5222,0.49183270302967447
poot,260269,0.716406328017935
blaze,4593,0.4844588016371846
hand,124850,0.6742013283388197
mime,9920,0.5286985977235448
saint,6330,0.5028877620627455
dwell,1489,0.4197422940396033
rose,19328,0.5670197408296992
deck,28757,0.5898472644070133
pith,115,0.27260975267955156
fish,260269,0.716406328017935
flop,1547,0.4219377283581797
food,260269,0.716406328017935
taste,19783,0.5683565624161717
junk,12377,0.5414121603318872
lick,4420,0.48225297459876754
draught,331,0.33334808855835624
nun,1949,0.4352092646781346
tag,20785,0.5711952254450009
force,75367,0.6452023884428894
bald,2766,0.45532268342462373
spire,180,0.2983500384198514
twelfth,508,0.35795875695376767
raise,24839,0.5814323665362734
speech,36424,0.6034260488507984
long,273919,0.7193431285736761
wheel,19370,0.5671444511286854
mead,1695,0.4271869153890252
south,66284,0.6378242408427353
vue,2,0.03982326329463344
tale,6204,0.5017326161001734
cleat,359,0.3380134884696658
dirt,260269,0.716406328017935
lone,55,0.2302326100726791
deaf,55,0.2302326100726791
grill,1497,0.4200501464813033
priest,14419,0.5501856013155221
rise,14755,0.5515090401729591
click,20059,0.5691525682999321
youth,14086,0.5488431939524347
joust,923,0.3922665839369004
chump,288,0.3253530744298457
grouse,191,0.30175794331521333
slab,983,0.39588495625178644
might,277740,0.7201390215183316
scotch,2,0.03982326329463344
gag,3171,0.46317331096818953
groove,55,0.2302326100726791
frame,31449,0.5949884861492306
cinch,153,0.28901286689082123
yeast,6896,0.507808096478224
fen,2,0.03982326329463344
fig,1889,0.4334127819615971
thence,371,0.33990251861537185
gist,1043,0.3992888829812791
glitch,2,0.03982326329463344
win,64801,0.6365242267451567
blow,16922,0.5593819467609478
loot,1001,0.39692747562281
pine,7922,0.5157769276653519
taint,55,0.2302326100726791
grouch,243,0.3155918948916962
writ,1281,0.41109772772600445
fit,42664,0.6125109246759669
train,23378,0.5779495999060312
yard,7420,0.5120157990785448
blob,1172,0.40598848643842617
crow,4669,0.4854016892775213
child,64731,0.6364621309216659
clown,2763,0.4552603363490889
hive,3724,0.4724089308588185
grew,10674,0.5329074742457692
pin,24744,0.5812122094258464
keel,641,0.3713192969146973
shit,2,0.03982326329463344
pale,5426,0.4940343954586734
suite,52332,0.6242458114600111
blur,1630,0.42494035333516933
gyp,20,0.17211328046317292
sail,3554,0.46972446891138375
fluke,1184,0.4065737494737232
sore,3356,0.46643104658401835
stock,43378,0.6134644650005215
threw,6890,0.507758086762778
wolf,21578,0.573346414569881
thirst,1028,0.3984566208497958
squawk,218,0.3093544496868358
lisle,264,0.32035402506101257
course,195949,0.7000976951353353
gin,1094,0.4020316537025265
style,43237,0.6132774106703077
deep,42697,0.6125553464447341
toss,4465,0.48283494403208166
bright,13728,0.5473641368517314
rind,409,0.34550492125576604
fush,55,0.2302326100726791
