word,freq,freq_scaled
chuckles,342,0.33522635707569337
straying,2,0.03982326329463344
puddles,318,0.33104612666575944
yodeled,2,0.03982326329463344
hubcap,68,0.24242263552340965
firemen,342,0.33522635707569337
flashes,1865,0.43267815938636195
courtesy,9141,0.5239999257604585
pleading,1257,0.41001111709613547
terrify,114,0.27210797809735415
baseball,18374,0.5641115822758199
million,55864,0.627998177622094
emptied,724,0.37831486401975506
futons,2,0.03982326329463344
sneezing,262,0.3199171193473903
merchant,5233,0.49195359854422915
reassure,680,0.3747126526919491
scrunch,29,0.19346065624929068
chances,12824,0.5434505005801579
rattles,362,0.33849160072512163
yourself,84063,0.651476064763628
prizes,3781,0.47328164877057133
deserved,3140,0.4626088831807804
machines,48949,0.6204062909721852
rowboats,2,0.03982326329463344
gossiped,32,0.1991163164731672
strokes,3052,0.4609757472040544
parson,281,0.32393940110095415
details,68642,0.6398325647345962
splatter,377,0.3408242414507425
timothy,2,0.03982326329463344
busily,315,0.33050154605316967
confess,2704,0.4540202235814375
stammers,2,0.03982326329463344
patrol,5796,0.4978243175741759
useful,55235,0.6273476188822887
greatly,35741,0.6023385008475541
slavery,6415,0.5036541116094574
celeste,2,0.03982326329463344
doubles,2841,0.45685976880026447
enchant,1935,0.43479508186347576
expert,19797,0.5683972061542255
parting,1006,0.39721373841965874
bureaus,902,0.39094432358800363
stepping,3048,0.4609003992267403
entering,8871,0.5222773602893473
cultures,8782,0.5216980429266671
pickled,289,0.32555221786828553
stated,35853,0.6025182567374194
boston,2,0.03982326329463344
toasted,761,0.38117842571334537
sloshes,2,0.03982326329463344
quiets,2,0.03982326329463344
pecans,122,0.2760045778197136
clumps,332,0.3335214003774657
sticking,5550,0.4953325830213407
deafened,58,0.2332839195439241
pupil,1038,0.3990127996798639
spreader,301,0.32788960425547625
angelo,2,0.03982326329463344
sweetly,344,0.3355613599167915
cranked,2,0.03982326329463344
slinks,2,0.03982326329463344
servant,3240,0.4644100596711634
private,58429,0.6305773599516142
gateways,2783,0.45567471120319153
dressing,2886,0.45776266047498054
snowplow,2,0.03982326329463344
smoothly,3342,0.4661908731848286
wobbled,98,0.2634193317398037
brands,5198,0.4915680446370589
curing,632,0.3705069103701985
argued,5834,0.49819976299104535
scrubs,2,0.03982326329463344
peanuts,1476,0.41923848864054253
western,38454,0.606541992657858
bumble,134,0.2813947302949631
handsome,2538,0.4503802545634453
forward,58130,0.6302826005216957
flannel,450,0.350993528999124
mourners,119,0.27457414315672785
tickets,15853,0.5556328171034122
trouble,49727,0.6213122706161169
rescue,11326,0.536313857366535
rounded,3400,0.46717940656585516
dreading,2,0.03982326329463344
waggles,2,0.03982326329463344
floras,2,0.03982326329463344
upwards,2317,0.44514612278094134
enemies,9066,0.5235265928437098
upturned,161,0.2919410330282306
flocking,240,0.31487818603077905
survives,1147,0.40474969708239406
lifeboat,184,0.29961278868954583
canvas,2872,0.4574832783535661
buckled,347,0.3360602298338316
marias,2,0.03982326329463344
admits,2678,0.4534651195098079
pounces,2,0.03982326329463344
equals,3377,0.46678943459118344
pickling,2,0.03982326329463344
breeches,149,0.287490848758694
swinging,2026,0.4374353884232694
footmen,2,0.03982326329463344
smashing,1561,0.42245532487219106
jungle,5507,0.49488571969375705
dropping,7291,0.5110081715439665
asphalt,1273,0.4107378028247111
sprouts,2,0.03982326329463344
grouping,1130,0.4038917997053194
peoples,11497,0.5371747973680346
rafted,2,0.03982326329463344
compote,2,0.03982326329463344
spotting,916,0.3918292030629393
franks,864,0.3884714534081849
counted,5343,0.4931487646932836
dolphin,1646,0.4255015575480218
handing,1602,0.4239448586985467
clutters,2,0.03982326329463344
drummers,829,0.3860956289538144
dancers,3389,0.46699322844766994
molted,2,0.03982326329463344
frosty,351,0.3367187221364696
peaceful,5920,0.49904050334762917
circled,538,0.36125523413144994
attends,627,0.37005057100149374
twaddle,2,0.03982326329463344
corrects,2,0.03982326329463344
victim,11640,0.5378849895721961
dreaded,1707,0.42759222800099694
kitchens,390,0.3427719813483306
weasels,2,0.03982326329463344
avoiding,5101,0.4904857864049676
tampers,2,0.03982326329463344
realized,17383,0.5609261733507485
wallops,2,0.03982326329463344
ganders,2,0.03982326329463344
planing,2,0.03982326329463344
captured,5633,0.49618542608564803
jumble,240,0.31487818603077905
winding,1422,0.4170971417376101
brownish,279,0.3235290220385165
gleaming,501,0.35716157910724855
escaped,3529,0.4693188987924379
beckoned,251,0.3174528778136196
gulping,2,0.03982326329463344
improve,22092,0.5746989273050072
spoken,10281,0.5307522265426787
chanting,1330,0.41325438721550606
ventured,597,0.36723369192452915
bathtime,2,0.03982326329463344
cakefree,2,0.03982326329463344
clomps,2,0.03982326329463344
monster,15609,0.5547416614087765
boneless,271,0.32185754926030447
spading,2,0.03982326329463344
glaring,1215,0.40805864876560227
reckless,1125,0.40363701957839665
fostered,453,0.3513752767456044
donkeys,2,0.03982326329463344
general,148206,0.6840539236140827
sparked,776,0.3822998567199508
travel,45979,0.616810079153799
snowball,486,0.3554151581863297
fixes,2,0.03982326329463344
strolled,291,0.32594844581438975
flounced,2,0.03982326329463344
parking,9000,0.5231068094622969
upheld,1077,0.401131867448005
advance,79093,0.6479747665507115
habits,4384,0.48178311698665965
quacking,2,0.03982326329463344
bullets,4985,0.4891641878501712
raisins,2,0.03982326329463344
remind,7596,0.5133626504618123
bleeding,4311,0.4808183890437372
sifting,311,0.3297673146614155
swelling,1464,0.4187694833873197
catnip,388,0.3424765934253174
latex,7717,0.5142706288398794
lineups,2,0.03982326329463344
sniping,407,0.345223289199329
labeled,4377,0.48169130786513215
sneaking,829,0.3860956289538144
stinging,598,0.3673298473017308
unloads,138,0.2830846410786182
wizards,2,0.03982326329463344
archduke,108,0.2690016635242846
stutters,2,0.03982326329463344
fungus,887,0.38998086627908213
rodent,949,0.39386259835731907
spaces,6729,0.5063996411094748
blasts,1451,0.4182570362725999
subways,282,0.3241434966067669
favorite,37482,0.605071090960708
camilla,2,0.03982326329463344
strides,533,0.360718789296049
silvery,329,0.3329998885563793
tiptoed,2,0.03982326329463344
cupid,273,0.3222799984023762
doorknob,186,0.3002339063548108
motoring,283,0.3243468696491006
extra,55905,0.6280403282346755
bridle,382,0.34158120660984675
brussel,2,0.03982326329463344
discuss,30219,0.5926963298500894
swashes,2,0.03982326329463344
cuddling,2,0.03982326329463344
luckily,3391,0.4670271239203151
flecking,2,0.03982326329463344
blowfish,399,0.3440827490253058
mangoes,2,0.03982326329463344
crusts,2,0.03982326329463344
flaggle,2,0.03982326329463344
binging,2,0.03982326329463344
speaking,31237,0.5945998811904342
