index,word,freq,freq_scaled
221,bulk,7030,0.5089137859934769
222,bull,8307,0.5185033418935788
223,bum,1700,0.4273561432712217
224,bump,2684,0.45359369731312005
225,bun,888,0.3900456018627956
226,bunch,30312,0.5928728713537702
227,bunk,1073,0.4009180892498467
228,bunt,188,0.30084838092306104
229,burl,2,0.03982326329463344
230,burn,12498,0.5419711027714078
231,burst,6355,0.5031142220503412
233,bush,10891,0.5340637630220071
234,buss,2,0.03982326329463344
235,bust,3080,0.4615004341791645
236,but,2128966,0.8371535493717843
237,butt,10346,0.5311143195229053
238,butte,358,0.33785322944115975
239,buzz,3748,0.47277800808823955
240,cab,3389,0.46699322844766994
241,cache,28691,0.5897152532636096
242,cad,8112,0.5171386025597767
244,cake,6252,0.502175414627036
245,calf,1480,0.4193939767583624
246,call,241964,0.7122164798608694
247,calm,6302,0.5026330626137714
248,cam,3833,0.474066411923286
249,camp,15940,0.5559472516144663
250,can,1625075,0.8216365499364195
253,cap,13883,0.5480091900073043
254,cape,5460,0.4943932788655492
255,car,86255,0.6529549870762268
256,card,222824,0.7074819803190221
257,care,104471,0.6639630341754017
258,cart,5927,0.4991083972985151
259,carve,863,0.38840491857218234
260,case,199508,0.7011318410627595
261,cash,39510,0.6080984518753046
263,cast,24387,0.5803772571827991
264,caste,1618,0.4245158231439499
265,cat,38651,0.6068355723491315
266,catch,22589,0.5759771095968212
267,caught,22731,0.5763371417138685
268,cause,79707,0.6484190513115988
269,cave,7509,0.5127008231196204
270,cease,3894,0.4749735414948277
271,cell,16079,0.5564460799831603
272,cent,6307,0.5026786275495146
273,chafe,80,0.2517598070524398
274,chain,23317,0.5777994928587625
276,chaise,77,0.24956389042135815
277,chalk,1664,0.42612642826388597
278,champ,2538,0.4503802545634453
279,chance,58967,0.6311039509079103
280,change,157121,0.6874099160974996
281,chant,5190,0.49147955355377
283,char,19945,0.5688251190589111
284,charge,45283,0.6159337463734684
285,charm,3831,0.47403642610607755
286,chart,10663,0.5328482361968282
287,chase,9068,0.5235392657950058
288,chat,12000,0.5396349570732245
289,cheap,34328,0.6000210181371518
290,cheat,6139,0.5011275009559832
291,check,170583,0.692132869923417
292,cheek,3557,0.46977294549235044
293,cheer,1906,0.43392751426675175
295,chef,1420,0.4170162791986215
296,chess,11303,0.5361970678117356
297,chest,13014,0.5442954756876341
298,chic,534,0.36082647972020754
299,chick,3180,0.4633361438342989
300,chide,71,0.24490299873544855
301,chief,19009,0.5660635953822963
302,child,64731,0.6364621309216659
303,chill,3587,0.4702554748500096
304,chime,1079,0.40123845898965066
306,chip,35546,0.6020241846688892
307,choice,65534,0.6371704593663218
308,choir,2133,0.4403922574213159
309,choke,2961,0.45923664651305773
310,chomp,219,0.30961739213420647
311,choose,49682,0.6212602556621868
312,chop,2333,0.4455414986172027
313,chord,4239,0.47985073965262515
314,chore,583,0.36587034059155976
315,christ,2,0.03982326329463344
316,chrome,2813,0.45629072308534113
317,chuck,12547,0.5421959134714197
318,chum,303,0.32827008792731566
319,chump,288,0.3253530744298457
320,chunk,4239,0.47985073965262515
321,church,49076,0.620555161419313
322,churn,341,0.3350581202806111
323,chute,1115,0.403124044523512
324,cinch,153,0.28901286689082123
325,cite,6153,0.5012583730500837
326,clad,878,0.38939494004472014
327,claim,56599,0.6287491522042757
328,clam,770,0.3818539075898976
329,clamp,1612,0.4243023758725568
330,clan,4151,0.4786454872170424
331,clang,277,0.32311569058334627
332,clap,934,0.3929472392529967
333,clash,4181,0.4790592155373359
335,clause,6675,0.5059367241733861
336,claw,2196,0.4420645990710255
337,clay,10799,0.5335763779090965
338,clean,36259,0.6031651974186422
339,clear,77304,0.6466603220757138
340,cleat,359,0.3380134884696658
341,cleft,387,0.3423283279895697
343,clerk,2717,0.45429577722460635
344,click,20059,0.5691525682999321
345,cliff,5134,0.49085626999604137
346,climb,6146,0.5011929742673052
347,clinch,340,0.3348893893973157
348,cling,1222,0.4083887028298795
349,clip,7283,0.5109450972140775
350,cloak,3971,0.47609852784753587
351,clock,24498,0.5806381664382281
352,clog,838,0.3867160014124296
353,close,84929,0.6520649042532944
354,clot,273,0.3222799984023762
355,cloth,11193,0.5356352024969734
356,clothe,216,0.3088249268189181
357,cloud,6303,0.5026421784923255
358,clout,790,0.38332713765483767
359,clown,2763,0.4552603363490889
360,club,63266,0.635146911603662
